cycle,step,time_s,pressure_kpa,co2_partial_kpa,co2_mole_fraction,co2_loading_cm3_stp_g,n2_loading_cm3_stp_g,open_fraction,solid_volume_l,co2_rate_cm3_stp_g_s
1,purge,754.0,100.05297772319493,10.349566912546724,0.10344086850847836,17.299886815437368,1.0,0.36085719400123706,1.0180428597000621,-0.044529124987782435
1,purge,756.0,100.0529763940476,10.34731439287679,0.10341835661265122,17.210848443268784,1.0,0.35859964107728104,1.017929982053864,-0.04450924882509645
1,purge,758.0,100.05297506555941,10.345062877118519,0.10339585474934598,17.12184981356862,1.0,0.3563430945550967,1.0178171547277548,-0.04448938251839693
1,purge,760.0,100.05297373772996,10.34281236477566,0.10337336291360412,17.032890906630694,1.0,0.35408755393682223,1.017704377696841,-0.04446952606189249
1,purge,762.0,100.05297241055875,10.340562855351955,0.10335088110046692,16.943971702760404,1.0,0.35183301872488554,1.0175916509362444,-0.0444496794497973
1,purge,764.0,100.05297108404551,10.33831434835154,0.1033284093049796,16.855092182274703,1.0,0.34957948842199654,1.0174789744211,-0.044429842676336706
1,purge,766.0,100.05296975818976,10.336066843279056,0.1033059475221924,16.766252325502105,1.0,0.34732696253116657,1.0173663481265582,-0.044410015735732125
1,purge,768.0,100.05296843299118,10.333820339639212,0.10328349574715635,16.67745211278268,1.0,0.34507544055570644,1.0172537720277852,-0.04439019862220259
1,purge,770.0,100.05296710844945,10.331574836936763,0.10326105397492269,16.58869152446803,1.0,0.34282492199918996,1.0171412460999596,-0.044370391329992404
1,purge,772.0,100.052965784564,10.329330334677387,0.10323862220055229,16.499970540921286,1.0,0.34057540636549233,1.0170287703182745,-0.04435059385334162
1,purge,774.0,100.05296446133454,10.327086832366737,0.1032162004191054,16.411289142517095,1.0,0.33832689315880315,1.0169163446579401,-0.04433080618647542
1,purge,776.0,100.05296313876076,10.324844329510295,0.10319378862564066,16.322647309641635,1.0,0.3360793818835701,1.0168039690941786,-0.04431102832364799
1,purge,778.0,100.05296181684221,10.32260282561468,0.10317138681522817,16.234045022692587,1.0,0.33383287204453993,1.0166916436022273,-0.04429126025911055
1,purge,780.0,100.05296049557842,10.320362320186241,0.10314899498293528,16.145482262079117,1.0,0.33158736314675785,1.0165793681573378,-0.04427150198711116
1,purge,782.0,100.05295917496919,10.318122812731628,0.10312661312383224,16.056959008221884,1.0,0.3293428546955453,1.0164671427347773,-0.04425175350191229
