z_m,component,retentate_flow_mol_s,permeate_flow_mol_s,retentate_mole_fraction,permeate_mole_fraction,flux_mol_m2_s
7.4,CH4,0.005764633338753033,0.0002353666618469662,0.6788070807511998,0.15610973938863446,0.0003378424429817135
7.6000000000000005,CO2,0.0026973433295513806,0.001302656670848619,0.3190155714231585,0.8432575456065692,0.0015107521025551358
7.6000000000000005,CH4,0.005757865667044861,0.00024213433355513818,0.6809844285768415,0.15674245439343087,0.0003389247897444865
7.800000000000001,CO2,0.002667236555342629,0.0013327634450573706,0.3168374218310828,0.8426214287600086,0.0014999249662794136
7.800000000000001,CH4,0.005751076344465736,0.0002489236561342631,0.6831625781689171,0.15737857123999147,0.00034000750337205863
8.0,CO2,0.0026373463550596094,0.0013626536453403898,0.31465861737628403,0.8419819032071763,0.0014890948965607025
8.0,CH4,0.005744265364494038,0.0002557346361059611,0.6853413826237159,0.15801809679282372,0.0003410905103439297
8.200000000000001,CO2,0.0026076727796794856,0.0013923272207205138,0.3124793064802675,0.8413389622837938,0.001478262636172958
8.200000000000001,CH4,0.00573743272203205,0.0002625672785679488,0.6875206935197326,0.1586610377162061,0.00034217373638270425
8.4,CO2,0.0025782158651051264,0.0014217841352948727,0.3102996389918102,0.8406925996399084,0.0014674289349950603
8.4,CH4,0.005730578413489487,0.0002694215871105128,0.6897003610081898,0.1593074003600917,0.00034325710650049394
8.6,CO2,0.00254897563199149,0.0014510243684085092,0.3081197661501161,0.8400428092486395,0.0014565945498257165
8.6,CH4,0.0057237024368008505,0.0002762975637991492,0.691880233849884,0.1599571907513606,0.0003443405450174284
8.8,CO2,0.0025199520861873986,0.0014800479142126008,0.3059398406003751,0.8393895853297695,0.0014457602444688984
8.8,CH4,0.005716804791381259,0.00028319520921874007,0.6940601593996248,0.1606104146702305,0.0003454239755531101
9.0,CO2,0.0024911452226406353,0.0015088547777593645,0.30376001671670955,0.8387329218105471,0.001434926791402493
9.0,CH4,0.0057098854777359355,0.00029011452286406363,0.6962399832832905,0.16126707818945282,0.00034650732085975074
9.200000000000001,CO2,0.0024625550135780137,0.0015374449868219857,0.3015804495355902,0.8380728139487239,0.0014240949662830786
9.200000000000001,CH4,0.005702944498642198,0.00029705550195780156,0.6984195504644098,0.1619271860512761,0.00034759050337169215
9.4,CO2,0.0024341814182807357,0.001565818582119264,0.29940129558416617,0.8374092569490673,0.0014132655522259244
9.4,CH4,0.005695981858171925,0.0003040181424280737,0.7005987044158339,0.16259074305093263,0.00034867344477740764
9.600000000000001,CO2,0.0024060243801372564,0.0015939756202627432,0.29722271259293154,0.8367422463662647,0.001402439338328031
9.600000000000001,CH4,0.005688997561986273,0.00031100243861372585,0.7027772874070685,0.1632577536337353,0.0003497560661671969
9.8,CO2,0.0023780838264851763,0.001621916173914823,0.2950448594502473,0.8360717781141312,0.0013916171194398232
9.8,CH4,0.0056819916173514815,0.0003180083832485178,0.7049551405497526,0.16392822188586875,0.00035083828805601764
10.0,CO2,0.0023503596684531225,0.001649640331946877,0.29286789615504816,0.8353978484750341,0.0013807996959277374
10.0,CH4,0.005674964033154687,0.0003250359674453124,0.7071321038449518,0.16460215152496607,0.00035192003040722625
