cycle,step,time_s,pressure_kpa,co2_partial_kpa,co2_mole_fraction,co2_loading_cm3_stp_g,n2_loading_cm3_stp_g,open_fraction,solid_volume_l,co2_rate_cm3_stp_g_s
3,purge,3312.0,100.0529953134175,10.3793665936847,0.1037386892933208,18.47782446609505,1.0,0.39072348576640775,1.0195361742883204,-0.04479217042410291
3,purge,3314.0,100.0529939755421,10.377100788161925,0.10371604462629676,18.388260133587846,1.0,0.38845261401481074,1.0194226307007406,-0.04477216374020448
3,purge,3316.0,100.05299263833088,10.374835993124691,0.10369341005748219,18.298735804514735,1.0,0.38618275525803053,1.0193091377629016,-0.044752166989030846
3,purge,3318.0,100.05299130178349,10.372572208072627,0.10367078558187726,18.20925145901612,1.0,0.38391390899434064,1.019195695449717,-0.04473218016473665
3,purge,3320.0,100.05298996589953,10.370309432505834,0.1036481711944869,18.11980707724408,1.0,0.38164607472231227,1.0190823037361156,-0.044712203261478005
3,purge,3322.0,100.0529886306786,10.368047665924593,0.10362556689031782,18.030402639362386,1.0,0.3793792519408092,1.0189689625970404,-0.044692236273416557
3,purge,3324.0,100.05298729612039,10.365786907829444,0.10360297266437923,17.941038125546473,1.0,0.3771134401489767,1.0188556720074489,-0.04467227919472764
3,purge,3326.0,100.0529859622244,10.36352715772152,0.10358038851168652,17.851713515983427,1.0,0.37484863884626807,1.0187424319423135,-0.04465233201957942
3,purge,3328.0,100.05298462899029,10.361268415101787,0.10355781442725313,17.762428790871983,1.0,0.37258484753242177,1.018629242376621,-0.044632394742150666
3,purge,3330.0,100.05298329641766,10.359010679472012,0.10353525040610068,17.67318393042254,1.0,0.370322065707481,1.018516103285374,-0.044612467356615525
3,purge,3332.0,100.05298196450607,10.35675395033377,0.10351269644324884,17.583978914857113,1.0,0.36806029287177655,1.0184030146435887,-0.044592549857156494
3,purge,3334.0,100.05298063325534,10.354498227188937,0.1034901525337201,17.494813724409347,1.0,0.3657995285259004,1.018289976426295,-0.04457264223798458
3,purge,3336.0,100.05297930266482,10.352243509540639,0.10346761867254978,17.405688339324502,1.0,0.36353977217078925,1.0181769886085394,-0.04455274449327437
3,purge,3338.0,100.05297797273424,10.349989796890844,0.10344509485476139,17.31660273985946,1.0,0.36128102330765854,1.018064051165383,-0.044532856617215455
3,purge,3340.0,100.05297664346325,10.347737088742521,0.1034225810753884,17.227556906282686,1.0,0.3590232814379787,1.017951164071899,-0.044512978604030334
3,purge,3342.0,100.05297531485132,10.34548538459945,0.10340007732947269,17.13855081887425,1.0,0.3567665460635507,1.0178383273031775,-0.044493110447915436
3,purge,3344.0,100.05297398689827,10.343234683964658,0.10337758361204817,17.0495844579258,1.0,0.3545108166864561,1.017725540834323,-0.0444732521430802
3,purge,3346.0,100.0529726596036,10.340984986342125,0.10335509991815868,16.960657803740556,1.0,0.35225609280905823,1.017612804640453,-0.04445340368374563
3,purge,3348.0,100.05297133296686,10.33873629123611,0.10333262624285058,16.8717708366333,1.0,0.3500023739340248,1.0175001186967012,-0.04443356506412665
3,purge,3350.0,100.05297000698776,10.336488598150817,0.10331016258116986,16.782923536930376,1.0,0.3477496595643086,1.0173874829782155,-0.0444137362784468
3,purge,3352.0,100.0529686816659,10.33424190659109,0.10328770892816874,16.69411588496969,1.0,0.34549794920315463,1.0172748974601578,-0.04439391732093319
3,purge,3354.0,100.05296735700081,10.331996216061977,0.10326526527890166,16.60534786110068,1.0,0.34324724235411186,1.0171623621177055,-0.04437410818580627
3,purge,3356.0,100.0529660329923,10.329751526068264,0.10324283162842016,16.516619445684313,1.0,0.34099753852097825,1.017049876926049,-0.044354308867323215
3,purge,3358.0,100.05296470963978,10.327507836116265,0.10322040797179138,16.427930619093082,1.0,0.3387488372078787,1.016937441860394,-0.044334519359716294
3,purge,3360.0,100.0529633869429,10.325265145711425,0.10319799430407366,16.339281361711002,1.0,0.33650113791923614,1.0168250568959618,-0.044314739657215774
