z_m,component,reaction_side_flow_mol_s,reaction_side_mole_fraction,permeate_flow_mol_s
0.55,H2,0.00030548685176134044,0.0158238356850073,0.005249174608375386
0.6000000000000001,A,0.014159302032360191,0.7335200294018216,0.0
0.6000000000000001,B,0.004840697967639818,0.25077146510707127,0.0
0.6000000000000001,H2,0.00030322481297062284,0.015708505491107038,0.005537473154669197
0.65,A,0.013878929434874426,0.7190779555332096,0.0
0.65,B,0.005121070565125584,0.2653265851225305,0.0
0.65,H2,0.0003010080869228368,0.015595459344259899,0.005820062478202748
0.7000000000000001,A,0.013604108479534862,0.7049186101618806,0.0
0.7000000000000001,B,0.005395891520465148,0.2795967377731922,0.0
0.7000000000000001,H2,0.00029883575695461754,0.015484652064927157,0.006097055763510532
0.75,A,0.01333472935759329,0.6910365281186867,0.0
0.75,B,0.00566527064240672,0.29358743253024233,0.0
0.75,H2,0.00029670692502527127,0.01537603935107091,0.00636856371738145
0.8,A,0.01307068406333543,0.6774263283366992,0.0
0.8,B,0.00592931593666458,0.30730409403667985,0.0
0.8,H2,0.00029462070868751134,0.015269577626620904,0.006634695227977071
0.8500000000000001,A,0.012811867158784745,0.6640827536831478,0.0
0.8500000000000001,B,0.006188132841215266,0.320752022044939,0.0
0.8500000000000001,H2,0.000292576245546701,0.015165224271913198,0.006895556595668566
0.9,A,0.012558174999210858,0.6510006312449966,0.0
0.9,B,0.006441825000789152,0.33393643122086303,0.0
0.9,H2,0.00029057269144909336,0.015062937534140446,0.00715125230934006
0.9500000000000001,A,0.012309506309572314,0.6381749025497251,0.0
0.9500000000000001,B,0.006690493690427697,0.3468624209224354,0.0
0.9500000000000001,H2,0.00028860922043730453,0.014962676527839424,0.007401884469990394
1.0,A,0.012065761581023132,0.6256005926859162,0.0
1.0,B,0.006934238418976877,0.3595350061914229,0.0
1.0,H2,0.0002866850225008675,0.014864401122660811,0.007647553396476011
1.05,A,0.011826843330185912,0.6132728240003589,0.0
1.05,B,0.007173156669814098,0.3719591039703703,0.0
1.05,H2,0.0002847993052093646,0.014768072029270857,0.007888357364604734
1.1,A,0.01159265606196958,0.6011868145237944,0.0
1.1,B,0.00740734393803043,0.3841395347521471,0.0
1.1,H2,0.00028295129219063517,0.01467365072405835,0.008124392645839794
1.1500000000000001,A,0.011363105977525864,0.5893378631745323,0.0
1.1500000000000001,B,0.007636894022474146,0.3960810374731038,0.0
1.1500000000000001,H2,0.00028114022119206074,0.014581099352363874,0.008355753801282085
1.2000000000000002,A,0.01113810138633988,0.5777213712770726,0.0
1.2000000000000002,B,0.00786189861366013,0.4077882477794181,0.0
1.2000000000000002,H2,0.0002793653482451653,0.014490380943509294,0.008582533265414968
1.25,A,0.01091755213958737,0.5663328136229879,0.0
1.25,B,0.00808244786041264,0.41926572726416955,0.0
1.25,H2,0.00027762594179340963,0.014401459112842489,0.008804821918619234
1.3,A,0.01070137004984069,0.55516776036351,0.0
1.3,B,0.00829862995015932,0.4305179413531337,0.0
1.3,H2,0.00027592128698844987,0.01431429828335629,0.009022708663170871
1.35,A,0.010489468672739505,0.5442218659838832,0.0
1.35,B,0.008510531327260505,0.44154927040993586,0.0
1.35,H2,0.00027425068409533336,0.014228863606180994,0.009236280643165172
1.4000000000000001,A,0.010281763242826307,0.5334908662562695,0.0
1.4000000000000001,B,0.008718236757173703,0.4523640128610207,0.0
1.4000000000000001,H2,0.00027261344693260095,0.014145120882709842,0.009445623310241102
1.4500000000000002,A,0.010078170675344817,0.5229705785393802,0.0
1.4500000000000002,B,0.008921829324655193,0.46296638485782493,0.0
1.4500000000000002,H2,0.0002710089035838849,0.014063036602794805,0.009650820421071307
1.5,A,0.009878609517054346,0.5126568994618151,0.0
1.5,B,0.009121390482945664,0.47336052262158745,0.0
1.5,H2,0.00026943639581337975,0.013982577916597464,0.009851954087132284
