time_s,total_concentration_mol_m3,CO2_concentration_mol_m3,CO2_mole_fraction,N2_concentration_mol_m3,N2_mole_fraction
2850.0,171.57477803528104,0.04543445734784169,0.0002648084868190765,171.5293435779332,0.9997351915131809
2900.0,171.58475317124044,0.05540363667365507,0.00032289370500397906,171.5293495345668,0.9996771062949961
2950.0,171.59680607303864,0.06745220552790857,0.00039308543714501387,171.52935386751074,0.999606914562855
3000.0,171.6113528797871,0.0819958596394475,0.0004777997391401325,171.52935702014764,0.9995222002608599
3050.0,171.62888964212976,0.09953032534890702,0.0005799159194960806,171.52935931678087,0.999420084080504
3100.0,171.650007071083,0.12064608406521667,0.0007028609326841169,171.52936098701778,0.9992971390673159
3150.0,171.67540777811755,0.14604557842450339,0.0008507076250155787,171.52936219969305,0.9991492923749845
3200.0,171.70592631520685,0.1765632340240458,0.0010282885268614562,171.5293630811828,0.9989717114731385
3250.0,171.74255232054867,0.21318859855821992,0.0012413266000630661,171.52936372199045,0.998758673399937
3300.0,171.786457115046,0.25709292812509255,0.0014965843783186965,171.5293641869209,0.9985034156216812
3350.0,171.83902395630892,0.30965943200787327,0.0018020320697736622,171.52936452430106,0.9981979679302264
3400.0,171.90188206116395,0.3725172918622167,0.0021670344000635916,171.52936476930174,0.9978329655999365
3450.0,171.9769443285563,0.44757938169042194,0.0026025545658919036,171.52936494686588,0.9973974454341081
3500.0,172.06644837180104,0.5370832963297105,0.0031213714318620756,171.52936507547133,0.9968786285681379
3550.0,172.17299995831533,0.6436347895248523,0.003738302693689964,171.5293651687905,0.9962616973063101
3600.0,172.2996173088347,0.7702520724041284,0.0044704224213307844,171.52936523643058,0.9955295775786692
3650.0,172.44977406305594,0.9204087777205459,0.0053372570809167895,171.5293652853354,0.9946627429190832
3700.0,172.62743672307948,1.0980714023462819,0.006360932092780561,171.5293653207332,0.9936390679072195
3750.0,172.8370916579456,1.3077263115544353,0.0075662365005684075,171.52936534639116,0.9924337634994316
3800.0,173.08375494083464,1.5543895758848594,0.008980563059867736,171.52936536494977,0.9910194369401322
3850.0,173.37295412283788,1.843588744480657,0.010633658253146225,171.52936537835723,0.9893663417468538
3900.0,173.71067288855488,2.181307500497229,0.012557129992217921,171.52936538805764,0.987442870007782
3950.0,174.10324282889823,2.5738774338262074,0.014783627185828539,171.52936539507203,0.9852163728141715
4000.0,174.55716971742342,3.027804317287864,0.01734563136071313,171.52936540013556,0.9826543686392869
4050.0,175.0788796581827,3.5495142543880593,0.020273800365400985,171.52936540379463,0.979726199634599
4100.0,175.67437629634261,4.145010889902428,0.023594851891833492,171.52936540644018,0.9764051481081665
4150.0,176.34880960056887,4.819444192220872,0.027329042952639954,171.52936540834799,0.97267095704736
4200.0,177.10596677834474,5.576601368621388,0.031487371487606226,171.52936540972334,0.9685126285123937
4250.0,177.94771762235962,6.41835221164229,0.03606875265050214,171.52936541071733,0.9639312473494979
4300.0,178.8734717889935,7.3441063775584805,0.04105754925035441,171.529365411435,0.9589424507496456
4350.0,179.87970585082013,8.350340438868528,0.046421803945986696,171.5293654119516,0.9535781960540133
4400.0,180.95967546276225,9.430310050438397,0.052112770573458284,171.52936541232384,0.9478872294265417
4450.0,182.10335833106484,10.573992918472253,0.05806588640308698,171.5293654125926,0.941934113596913
4500.0,183.297714802844,11.768349390057718,0.0642034703090315,171.5293654127863,0.9357965296909685
4550.0,184.52725983116127,12.997894418235639,0.07043888491125078,171.52936541292564,0.9295611150887493
4600.0,185.7748974006845,14.245531987658381,0.07668168405407981,171.5293654130261,0.9233183159459202
4650.0,187.0229293518575,15.493563938759085,0.08284312513151855,171.52936541309842,0.9171568748684815
4700.0,188.25410142356736,16.724736010416972,0.08884128358397199,171.5293654131504,0.9111587164160281
4750.0,189.45254171241095,17.923176299222995,0.09460509812758482,171.52936541318795,0.9053949018724151
4800.0,190.60453007722342,19.07516466400855,0.10007718419011473,171.52936541321486,0.8999228158098852
4850.0,191.6989563674398,20.16959095420561,0.10521492310863426,171.5293654132342,0.8947850768913658
4900.0,192.7275414248602,21.198176011612034,0.10999038256230073,171.52936541324817,0.8900096174376994
4950.0,193.6848104470838,22.155445033825586,0.11438917167889438,171.5293654132582,0.8856108283211055
5000.0,194.56786920664285,23.03850379337742,0.11840857325167668,171.52936541326542,0.8815914267483232
5050.0,195.37606582032095,23.846700407050285,0.12205538230553317,171.52936541327065,0.8779446176944667
5100.0,196.11059046541862,24.58122505214434,0.12534368997516684,171.5293654132743,0.8746563100248332
5150.0,196.77405696611504,25.24469155283805,0.1282927838255896,171.529365413277,0.8717072161744104
5200.0,197.37011258203526,25.840747168756288,0.13092533023719988,171.52936541327898,0.8690746697628001
5250.0,197.90309385901168,26.37372844573139,0.13326587235932918,171.5293654132803,0.8667341276406708
5300.0,198.37773165362606,26.848366240344802,0.13533961708576706,171.52936541328125,0.864660382914233
5350.0,198.7989263728624,27.26956095958039,0.13717157057696713,171.52936541328202,0.8628284294230328
5400.0,199.17156357223027,27.642198158947753,0.13878586713470878,171.5293654132825,0.8612141328652911
5450.0,199.50036792731342,27.971002514030562,0.14020526781294762,171.52936541328285,0.8597947321870524
5500.0,199.78985608823498,28.260490674951818,0.1414510787898605,171.52936541328316,0.8585489212101395
5550.0,200.04425370886025,28.514888295576885,0.14254290121763152,171.52936541328336,0.8574570987823684
5600.0,200.2674435189966,28.738078105713182,0.14349850180709575,171.52936541328341,0.8565014981929042
5650.0,200.46298154804012,28.93361613475661,0.14433396087058992,171.5293654132835,0.8556660391294101
5700.0,200.63409919544193,29.104733782158256,0.14506374489117485,171.52936541328367,0.8549362551088251
5750.0,200.78369636098012,29.254330947696435,0.14570072908261122,171.52936541328367,0.8542992709173888
5800.0,200.91436810922283,29.38500269593914,0.14625635275603885,171.5293654132837,0.8537436472439611
5850.0,201.02843275536733,29.499067342083613,0.14674077162995744,171.52936541328373,0.8532592283700426
5900.0,201.1279421784021,29.59857676511834,0.1471629274606915,171.52936541328376,0.8528370725393085
5950.0,201.21470517356227,29.685339760278477,0.14753066747618032,171.52936541328378,0.8524693325238196
6000.0,201.29033019838744,29.760964785103646,0.1478509412537198,171.52936541328378,0.8521490587462801
