time_s,component,loading_mol_kg,rate_mol_kg_s
245.1127819548872,CO2,0.8867868777151238,0.00083647904893572
246.61654135338344,CO2,0.8880353305572465,0.0008239945205144927
248.12030075187968,CO2,0.8892651501233656,0.0008116963248533016
249.62406015037593,CO2,0.8904766145168768,0.0007995816809181899
251.12781954887217,CO2,0.8916699976904561,0.0007876478491823969
252.6315789473684,CO2,0.8928455695080106,0.0007758921310068512
254.13533834586465,CO2,0.8940035958057029,0.0007643118680299288
255.6390977443609,CO2,0.8951443384520658,0.0007529044415663
257.1428571428571,CO2,0.8962680554072199,0.0007416672720147588
258.64661654135335,CO2,0.8973750007812067,0.0007305978182748907
260.1503759398496,CO2,0.8984654248914513,0.0007196935771724445
261.65413533834584,CO2,0.8995395743193676,0.0007089520828932816
263.1578947368421,CO2,0.9005976919661193,0.0006983709064257649
264.6616541353383,CO2,0.9016400171075468,0.0006879476550114893
266.16541353383457,CO2,0.9026667854482764,0.0006776799716041937
267.6691729323308,CO2,0.9036782291750205,0.0006675655343367526
269.17293233082705,CO2,0.9046745770090832,0.000657602055996126
270.6766917293233,CO2,0.9056560542580814,0.0006477872835061438
272.18045112781954,CO2,0.906622882866895,0.0006381189974180079
273.6842105263158,CO2,0.9075752814678553,0.000628595011408405
275.187969924812,CO2,0.9085134654301859,0.000619213171785099
276.69172932330827,CO2,0.9094376469087041,0.0006099713569999166
278.1954887218045,CO2,0.9103480348917969,0.0006008674771689882
279.69924812030075,CO2,0.9112448352486799,0.0005918994736001581
281.203007518797,CO2,0.9121282507759514,0.0005830653183274437
282.70676691729324,CO2,0.9129984812434511,0.000574363013652447
284.2105263157895,CO2,0.9138557234394354,0.0005657905916926032
285.7142857142857,CO2,0.9147001712150775,0.0005573461139361824
287.21804511278197,CO2,0.9155320155283033,0.0005490276708039243
288.72180451127815,CO2,0.9163514444869738,0.0005408333812172195
290.2255639097744,CO2,0.917158643391423,0.0005327613921727281
291.72932330827064,CO2,0.9179537947763591,0.0005248098783233668
293.2330827067669,CO2,0.9187370784521434,0.000516977041565524
294.7368421052631,CO2,0.9195086715454501,0.0005092611106324563
296.24060150375936,CO2,0.9202687485393218,0.0005016603406937392
297.7443609022556,CO2,0.9210174813126246,0.0004941730129607114
299.24812030075185,CO2,0.9217550391789168,0.00048679743429778986
300.7518796992481,CO2,0.9224815889247358,0.00047953193683960004
302.25563909774434,CO2,0.9231972948473142,0.00047237487761381594
303.7593984962406,CO2,0.9239023187917329,0.00046532463816962856
305.2631578947368,CO2,0.9245968201875201,0.0004583796242117566
306.76691729323306,CO2,0.9252809560847031,0.0004515382652399269
308.2706766917293,CO2,0.9259548811893225,0.00044479901419373306
309.77443609022555,CO2,0.926618747898417,0.0004381603471027873
311.2781954887218,CO2,0.9272727063344854,0.00043162076274210317
312.78195488721803,CO2,0.9279169043794336,0.0004251787822926212
314.2857142857143,CO2,0.9285514877080165,0.00041883294900679215
315.7894736842105,CO2,0.9291765998207795,0.00041258182787916266
317.29323308270676,CO2,0.9297923820765088,0.0004064240053218693
318.796992481203,CO2,0.9303989737241976,0.00040035808884498206
320.30075187969925,CO2,0.9309965119345344,0.00039438270674161394
321.8045112781955,CO2,0.9315851318309227,0.0003884965077777303
323.30827067669173,CO2,0.9321649665200367,0.00038269816088659094
324.812030075188,CO2,0.93273614712192,0.0003769863548677577
326.3157894736842,CO2,0.9332988027996384,0.00037135979809057364
327.8195488721804,CO2,0.9338530607884861,0.0003658172182020969
329.32330827067665,CO2,0.9343990464247586,0.00036035736183937184
330.8270676691729,CO2,0.9349368831740957,0.0003549789943460002
332.33082706766913,CO2,0.9354666926594009,0.00034968089949294904
333.8345864661654,CO2,0.935988594688344,0.000344461879203517
335.3383458646616,CO2,0.9365027072804546,0.00033932075328241165
336.84210526315786,CO2,0.9370091466938095,0.0003342563591488623
338.3458646616541,CO2,0.9375080274513227,0.0003292675515737309
339.84962406015035,CO2,0.9379994623666431,0.00032435320242052646
341.3533834586466,CO2,0.9384835625696653,0.00031951220039030503
342.85714285714283,CO2,0.9389604375316595,0.0003147434507703628
344.3609022556391,CO2,0.9394301950900271,0.00031004587518668636
345.8646616541353,CO2,0.9398929414726863,0.0003054184113600944
347.36842105263156,CO2,0.9403487813220934,0.00030086001286602326
348.8721804511278,CO2,0.9407978177189065,0.0002963696488978929
350.37593984962405,CO2,0.9412401522052948,0.0002919463040340098
351.8796992481203,CO2,0.9416758848079012,0.0002875889780079455
353.38345864661653,CO2,0.9421051140604616,0.00028329668548234156
354.8872180451128,CO2,0.9425279370260868,0.0002790684558260892
