pressure_bar,component,equilibrium_loading_mol_kg
0.0007322538337604533,CO2,0.0021937417518436476
0.0007536903980898542,CO2,0.002257872187990033
0.0007757545129612413,CO2,0.0023238746390217033
0.0007984645497739086,CO2,0.002391803588354194
0.0008218394177456806,CO2,0.002461715095486181
0.00084589857965743,CO2,0.0025336668410218983
0.0008706620680585126,CO2,0.002607718172945762
0.000896150501946605,CO2,0.0026839301541819825
0.0009223851039358476,CO2,0.002762365611472739
0.0009493877179275829,CO2,0.0028430891856091683
0.0009771808272983908,CO2,0.0029261673830501835
0.0010057875736205835,CO2,0.0030116686289649373
0.0010352317759307378,CO2,0.003099663321735488
0.0010655379505623054,CO2,0.003190223888956965
0.0010967313315588178,CO2,0.003283424844973348
0.0011288378916846883,CO2,0.0033793428499877824
0.0011618843640511002,CO2,0.0034780567707870806
0.0011958982643749793,CO2,0.0035796477431208336
0.0012309079138896018,CO2,0.0036841992357764825
0.0012669424629259062,CO2,0.003791797116392333
0.0013040319151841316,CO2,0.0039025297190513446
0.001342207152716012,CO2,0.004016487913699375
0.0013814999616383224,CO2,0.004133765177432294
0.0014219430585991676,CO2,0.004254457667697088
0.0014635701180190797,CO2,0.0043786642974530535
0.0015064158001295927,CO2,0.004506486812339746
0.0015505157798326253,CO2,0.004638029869899165
0.0015959067764047309,CO2,0.00477340112090052
0.0016426265840709304,CO2,0.004912711292816458
0.00169071410347358,CO2,0.005056074275500477
0.001740209374062485,CO2,0.005203607209115923
0.0017911536074332302,CO2,0.005355430574367614
0.001843589221641488,CO2,0.005511668285087812
0.0018975598765218504,CO2,0.005672447783228803
0.0019531105100406311,CO2,0.005837900136315075
0.0020102873757128856,CO2,0.006008160137408525
0.00206913808111479,CO2,0.006183366407640591
0.0021297116275234783,CO2,0.006363661501365866
0.0021920584507173256,CO2,0.006549192013992002
0.002256230462970635,CO2,0.006740108692541049
0.0023222810962777243,CO2,0.006936566548997915
0.002390265346842392,CO2,0.007138724976501664
0.0024602398208697774,CO2,0.00734674786843553
0.0025322627816987946,CO2,0.00756080374047189
0.0026063941983143473,CO2,0.007781065855628206
0.0026826957952797246,CO2,0.008007712352389926
0.002761231104130753,CO2,0.008240926375956319
0.002842065516274511,CO2,0.00848089621266485
0.0029252663374366447,CO2,0.00872781542764935
0.0030109028437025924,CO2,0.008981883005786725
0.003099046339199427,CO2,0.009243303495986465
0.0031897702154663216,CO2,0.009512287158876337
0.0032831500125630473,CO2,0.009789050117936765
0.003379263481967431,CO2,0.010073814514135474
0.00347819065131413,CO2,0.010366808664112681
0.0035800138910285803,CO2,0.010668267221965613
0.0036848179829116765,CO2,0.01097843134467983
0.00379269019073225,CO2,0.011297548861252858
0.0039037203328860922,CO2,0.01162587444555354
0.004018000857182091,CO2,0.011963669792958612
0.004135626917817706,CO2,0.012311203800805297
0.004256696454607871,CO2,0.012668752752695916
0.004381310274533306,CO2,0.013036600506687797
0.004509572135676145,CO2,0.01341503868739818
0.004641588833612777,CO2,0.013804366882050495
0.0047774702903357735,CO2,0.014204892840483962
0.004917329645779016,CO2,0.014616932679144864
0.005061283352022219,CO2,0.015040811089072681
0.005209451270253212,CO2,0.015476861547889223
0.005361956770568816,CO2,0.0159254265357939
0.00551892683469738,CO2,0.016386857755561982
0.005680492161728429,CO2,0.016861516356536252
0.005846787276937589,CO2,0.017349773162596276
0.006017950643797334,CO2,0.01785200890408145
0.00619412477926676,CO2,0.01836861445363649
0.0063754563724565064,CO2,0.018899991065939696
0.0065620964067675544,CO2,0.01944655062126514
0.006754200285605587,CO2,0.02000871587282023
0.0069519279617756054,CO2,0.02058692069779006
0.007155444070664574,CO2,0.021181610352008964
0.007364918067322966,CO2,0.021793241728167993
0.007580524367559262,CO2,0.022422283617454263
0.007802442493165045,CO2,0.023069216974505962
0.008030857221391512,CO2,0.023734535185551704
0.008265958738801813,CO2,0.024418744339588655
0.008507942799627445,CO2,0.025122363502438273
0.008757010888760509,CO2,0.025845924993501745
0.009013370389517439,CO2,0.026589974665019247
0.009277234756314059,CO2,0.027355072183619506
0.009548823692395667,CO2,0.028141791313925905
0.00982836333277003,CO2,0.02895072020396463
0.010116086432495808,CO2,0.029782461672099577
0.010412232560483054,CO2,0.030637633495194903
0.010717048298967103,CO2,0.031516868697682415
0.011030787448822152,CO2,0.032420815841186536
0.011353711240885177,CO2,0.033350139314331506
0.01168608855346651,CO2,0.03430551962233022
0.012028196136227775,CO2,0.0352876536759222
0.012380318840613969,CO2,0.036297255079200834
0.012742749857031334,CO2,0.0373350544158362
0.013115790958968502,CO2,0.03840179953316773
0.013499752754264297,CO2,0.03949825582360657
0.013894954943731374,CO2,0.04062520650275156
0.01430172658735088,CO2,0.041783452883585225
0.014720406378260014,CO2,0.042973814646077836
0.01515134292476053,CO2,0.04419713010148813
0.015594895040582816,CO2,0.04545425645060542
0.016051432043647614,CO2,0.04674607003513863
0.0165213340635737,CO2,0.04807346658140917
0.017004992358187924,CO2,0.049437361435462464
0.017502809639301013,CO2,0.05083868978866349
0.018015200408020238,CO2,0.052278406892793845
0.018542591299878522,CO2,0.05375748826361923
0.01908542144006686,CO2,0.055276929871842885
0.019644142809066265,CO2,0.056837748320311486
0.020219220618983534,CO2,0.05844098100628454
0.02081113370090395,CO2,0.06008768626752468
0.02142037490358383,CO2,0.06177894351091291
0.022047451503814746,CO2,0.06351585332223517
0.02269288562880081,CO2,0.06529953755573129
0.023357214690901212,CO2,0.06713113940194168
0.02404099183509972,CO2,0.06901182343232899
0.0247447863995735,CO2,0.0709427756190952
0.0254691843897454,CO2,0.07292520332856038
0.02621478896621356,CO2,0.07496033528640916
0.026982220946965358,CO2,0.07704942151306
0.02777211932429355,CO2,0.0791937332273554
0.028585141796844713,CO2,0.08139456271671802
0.02942196531724374,CO2,0.08365322317186946
0.030283286655749458,CO2,0.08597104848415522
0.031169822980411436,CO2,0.08834939300347677
0.032082312454210775,CO2,0.09078963125478581
0.03302151484968176,CO2,0.09329315761105532
0.03398821218152667,CO2,0.09586138592060817
0.03498320935775036,CO2,0.09849574908665065
0.0360073348498562,CO2,0.10119769859683049
0.03706144138266228,CO2,0.10396870400062132
0.03814640664431178,CO2,0.10681025233231813
0.03926313401706836,CO2,0.10972384747741995
0.040412553329506,CO2,0.11271100948017973
0.04159562163071847,CO2,0.11577327379010388
0.04281332398719392,CO2,0.11891219044520673
0.04406667430301786,CO2,0.12212932318984873
0.04535671616408702,CO2,0.12542624852502546
0.0466845237070379,CO2,0.12880455468902646
0.04805120251361242,CO2,0.13226584056643978
0.049457890531206396,CO2,0.1358117145235577
0.050905759020366814,CO2,0.13944379316832473
0.052396013530026445,CO2,0.14316370003307188
0.0539298949012887,CO2,0.14697306417840394
0.05550868030059805,CO2,0.15087351871673854
0.057133684283155795,CO2,0.15486669925414837
0.05880625988746757,CO2,0.15895424224933308
0.06052779976193349,CO2,0.16313778328873257
0.06229973732441841,CO2,0.1674189552770022
0.06412354795576918,CO2,0.17179938654230587
0.06600075022827095,CO2,0.1762806988561231
0.06793290717006695,CO2,0.18086450536754575
0.06992162756659374,CO2,0.18555240845232823
0.07196856730011514,CO2,0.19034599747726635
0.07407543072847163,CO2,0.1952468464808251
0.07624397210419138,CO2,0.20025651177128098
0.07847599703514607,CO2,0.20537652944403478
0.08077336398796711,CO2,0.21060841282014647
0.08313798583547334,CO2,0.21595364980856374
0.08557183144940002,CO2,0.22141370019496381
0.08807692733975461,CO2,0.22698999286058438
0.09065535934216358,CO2,0.2326839229348983
0.09330927435461664,CO2,0.23849684888648962
0.0960408821250538,CO2,0.24443008955699075
0.09885245709128271,CO2,0.2504849211434713
0.10174634027476064,CO2,0.2566625741352049
0.10472494122981486,CO2,0.26296423021127824
0.10779074004992725,CO2,0.269391019106068
0.11094628943275218,CO2,0.27594401545015357
0.11419421680558647,CO2,0.28262423559479194
0.11753722651306354,CO2,0.289432634428634
0.12097810206889013,CO2,0.2963701021958923
0.12451970847350319,CO2,0.3034374613257125
0.12816499459957584,CO2,0.31063546328300595
0.13191699564735718,CO2,0.31796478545149465
0.13577883567189278,CO2,0.3254260280601917
0.1397537301842291,CO2,0.333019711164974
0.14384498882876628,CO2,0.3407462716973012
0.148056018138991,CO2,0.3486060605925054
0.1523903243738829,CO2,0.35659934001038174
0.15685151643735462,CO2,0.36472628066107315
0.1614433088831602,CO2,0.3729869592494576
0.16616952500776888,CO2,0.38138135605137624
0.17103410003378397,CO2,0.3899093526351315
0.17604108438655525,CO2,0.3985707297416822
0.18119464706671223,CO2,0.4073651653368887
0.18649907912142963,CO2,0.41629223284902195
0.1919587972173111,CO2,0.42535139960449503
0.19757834731786994,CO2,0.4345420254744709
0.20336240846866724,CO2,0.4438633617445707
0.20931579669325737,CO2,0.45331455021940165
0.21544346900318823,CO2,0.46289462257302905
